text,category,risk_level,language,source_type
"अंतिम चेतावनी: जन्मदिन की हार्दिक शुभकामनाएं Rajesh Gupta! ईश्वर आपको उत्तम स्वास्थ्य, दीर्घायु और सफलता प्रदान करें।",benign,safe,hi-IN,authentic_transaction
"तत्काल सूचना: भारतीय रिज़र्व बैंक सतर्कता प्रकोष्ठ: आपके Kotak Mahindra Bank खाते #46130 संदिग्ध पाए गए हैं। धनराशि की सुरक्षा के लिए आरबीआई सत्यापन खाते में ₹18,000 ट्रांसफर करें।",voice_phishing,high,hi-IN,curated_scam
"सतर्कता अलर्ट: फ्लिपकार्ट 10वीं वर्षगांठ: विजेता #71009 ने ₹12,500 का नकद पुरस्कार जीता है। सरकारी टीडीएस टैक्स ₹2,500 जमा करके राशि बैंक में ट्रांसफर करवाएं।",lottery_prize,medium,hi-IN,curated_scam
"Action Required: Pre-sanctioned business loan of Rs 50,000 approved under MSME scheme for file #68792. Deposit insurance bond Rs 4,500 to receive cheque.",loan_scam,medium,en-IN,curated_scam
संस्थागत प्री-आईपीओ शेयर 50% छूट पर खरीदें खाता #84450 पर। बाजार में लिस्टिंग से पहले भारी मुनाफा कमाने का मौका।,investment_scam,high,hi-IN,curated_scam
"Final Reminder: Reserve Bank of India Vigilance: Your HDFC Bank accounts are being frozen under PMLA Act file #15721. Transfer funds of Rs 1,499 to RBI safety escrow account for verification.",voice_phishing,high,en-IN,curated_scam
तत्काल सूचना: उच्चतम न्यायालय प्रवर्तन निदेशालय: आप 24 घंटे की डिजिटल निगरानी में हैं केस #82639 के तहत। कॉल काटने पर स्थानीय पुलिस आपके घर पहुंचेगी।,voice_phishing,high,hi-IN,curated_scam
"सतर्कता अलर्ट: फास्टैग टोल प्लाजा पर वाहन #78600 से दो बार काटा गया ₹35,000 वापस पाने के लिए राष्ट्रीय राजमार्ग रिफंड पोर्टल पर आवेदन करें।",fake_refund,high,hi-IN,curated_scam
"IMPORTANT: Scan QR code with any UPI App (BHIM UPI) to receive your pending payment of Rs 6,500 from Army Officer Advocate Alok Verma.",upi_collect_scam,high,en-IN,curated_scam
Zaroori Suchna: Army officer Vikram Malhotra ne furniture khareedne ke liye QR code bheja hai. Scan karke PIN enter karein paise lene ke liye.,upi_collect_scam,high,hi-Latn,curated_scam
अंतिम चेतावनी: बीएसएनएल 5G एक्टिवेशन Hyderabad: अपना नंबर #36620 चालू रखने के लिए 1 घंटे के अंदर 59059 पर 'UPG 36620' लिखकर भेजें।,sim_swap,high,hi-IN,curated_scam
Dhyan Dein: Credit card limit badhane ke liye SBI se call hai card ending 58989 par. SMS me aaya hua 6-digit verification code batayein.,otp_scam,high,hi-Latn,curated_scam
"अंतिम रिमाइंडर: आईआरसीटीसी रिफंड: रेल टिकट PNR #76387 का रिफंड ₹4,500 खाते में जमा करने के लिए एसएमएस द्वारा प्राप्त गुप्त कोड बताएं।",otp_scam,high,hi-IN,curated_scam
NOTICE: Calling from Police Cyber Cell Chandigarh: Your BOB account #22750 was used in suspicious activity. Read out the verification code to avoid account seizure.,otp_scam,high,en-IN,curated_scam
"Chetawani: Mobile typing job: 50 page type karein aur Rs 1,200 payein project #90708 me. Kaam shuru karne ke liye security money transfer karein.",job_offer_scam,medium,hi-Latn,curated_scam
Urgent Notice: Jio 5G welcome offer claim karne ke liye number 19894 par KYC details submit karein https://jio-5g-claim19894.info,phishing_link,high,hi-Latn,curated_scam
"Aapke account me Rs 35,000 transfer pending hai ref #76465, accept karne ke liye UPI PIN enter karna compulsory hai.",upi_collect_scam,high,hi-Latn,curated_scam
"NOTICE: Urgent Notice: Electricity power to consumer #29698 will be disconnected tonight at 9:30 PM by Bijli Vibhag due to unpaid bill of Rs 500,000. Click https://bijli-pay29698.in",phishing_link,high,en-IN,curated_scam
"अंतिम चेतावनी: पेटीएम स्क्रैच कार्ड में आपने ₹2,450 जीते हैं। पुरस्कार राशि Canara Bank में सीधे प्राप्त करने के लिए पिन दर्ज करें।",upi_collect_scam,high,hi-IN,curated_scam
"URGENT: Axis Bank: Dear customer, temporary block placed on card ending 56703. Verify recent transaction of Rs 250,000 at https://axis-security-alert56703.info",phishing_link,high,en-IN,curated_scam
"Zaroori Suchna: Swiggy refund initiate ho gaya hai order #81343 ka. Aapke number par 4-digit code aaya hoga, wo batayein taaki paisa account me aaye.",otp_scam,high,hi-Latn,curated_scam
"Priority: Hi Mom, I reached the hostel in Ahmedabad safely. Will call you in the evening after classes finish. Love from Anita Rao.",benign,safe,en-IN,authentic_transaction
Priority: Google Maps Local Guide project in Surat: Give 5-star ratings to clinics and shops. Rs 200 per rating. Contact Telegram mentor @TaskGuide51636,job_offer_scam,medium,en-IN,curated_scam
"Electricity bill #66899 online pay kar diya hai BHIM UPI se Rs 6,500, receipt download kar li hai.",benign,safe,hi-Latn,authentic_transaction
"आवश्यक सूचना: विद्यार्थी ऋण: छात्र #44978 को बिना किसी गारंटी के पढ़ाई के लिए ₹85,000 का लोन। फॉर्म भरने के लिए यहां जाएं: https://student-credit44978.site",loan_scam,medium,hi-IN,curated_scam
"Priority: Hello sir, I am Rajesh Gupta from BOB fraud prevention department. We detected an unauthorized transaction of Rs 100,000. Please share the 6-digit OTP sent to your phone to cancel it.",otp_scam,high,en-IN,curated_scam
Alert: Jio eSIM setup mobile #53327: Email par aaya barcode doosre phone se scan karein taaki aapka network 5G me switch ho sake.,sim_swap,high,hi-Latn,curated_scam
"महत्वपूर्ण सूचना: आपातकालीन नकद ऋण: 0% ब्याज दर पर ₹4,500 तक का ऋण तुरंत प्राप्त करें। Chennai के ग्राहक तुरंत संपर्क करें: 9890916",loan_scam,medium,hi-IN,curated_scam
NOTICE: FedEx Customs Desk: Package #FX97126 sent from Chandigarh to Taiwan flagged for wildlife contraband. Police case transferred to Crime Branch officer Sneha Patel.,voice_phishing,high,en-IN,curated_scam
तत्काल सूचना: डिजिटल अरेस्ट नोटिस: मैं Mumbai साइबर क्राइम सेल से इंस्पेक्टर Sneha Patel बोल रहा हूँ। आपके आधार #82190 से बुक पार्सल में नशीले पदार्थ पकड़े गए हैं।,voice_phishing,high,hi-IN,curated_scam
"Aakhri Chetawani: Bijli Vibhag Notice: Consumer #28115 ki bijli aaj raat 9:30 baje kaat di jayegi unpaid bill Rs 45,000 ke karan. Pay karein https://bijli-bill28115.in",phishing_link,high,hi-Latn,curated_scam
"अंतिम चेतावनी: अमेज़न कैशबैक ₹4,999 तैयार है। IDFC FIRST Bank खाते में जमा करने के लिए 'भुगतान स्वीकार करें' पर क्लिक कर पिन दर्ज करें।",upi_collect_scam,high,hi-IN,curated_scam
"Dhyan Dein: Flipkart delivery boy Ramesh Kumar bahar khada hai Kolkata me, parcel #73579 receive kar lo please.",benign,safe,hi-Latn,authentic_transaction
महत्वपूर्ण सूचना: कस्टम विभाग Patna हवाई अड्डा: आपके नाम से भेजे जा रहे पार्सल #19672 में 5 फर्जी पासपोर्ट और मादक पदार्थ मिले हैं। तुरंत वीडियो कॉल पर बयान दें अधिकारी Rana Pratap Singh को।,voice_phishing,high,hi-IN,curated_scam
"Chetawani: Bajaj Finserv se Rs 1,200 ka loan approve hua hai customer #43065. Disbursement ke liye GST tax Rs 3,200 account me dalein.",loan_scam,medium,hi-Latn,curated_scam
ALERT: Swiggy support: We are processing your cancellation refund of Rs 299 for order #27805. Please share the OTP sent by SMS to approve the transfer.,otp_scam,high,en-IN,curated_scam
"Savdhan Rahe: Cashback lene ke liye QR scan karein aur apna security PIN dalein, turant SBI me Rs 750 deposit hoga.",upi_collect_scam,high,hi-Latn,curated_scam
"Savdhan Rahe: Dear Customer, aapke SBI account #10258 me Rs 8,500 credit ho gaye hain on 14-Aug-2024. Available balance: Rs 172,996. Shukriya.",benign,safe,hi-Latn,authentic_transaction
"Aadhaar Instant Loan: Borrow Rs 100,000 at 1% interest rate per annum. Download APK file directly for profile #52617: https://aadhaar-credit-loan52617.apk",loan_scam,medium,en-IN,curated_scam
"तत्काल सूचना: मेकमाइंसट्रिप टिकट रद्दीकरण रिफंड ₹85,000 प्राप्त करने हेतु अपना डेबिट कार्ड नंबर और सीवीवी दर्ज करें बुकिंग #2316 के लिए।",fake_refund,high,hi-IN,curated_scam
Action Required: VIP stock pump group: Buy recommended penny stock #60942 at 9:15 AM tomorrow for guaranteed 20% upper circuit profit. Join group now with trader DCP Mahesh Sharma.,investment_scam,high,en-IN,curated_scam
Google Account Security: Suspicious login from Russia detected for user #86507. Secure your account now at https://myaccount-google-security86507.site,phishing_link,high,en-IN,curated_scam
"Action Required: Hero Motocorp festive reward: You won a Splendor Plus bike! Deposit insurance registration fee Rs 8,500 to ship bike to your address in Delhi.",lottery_prize,medium,en-IN,curated_scam
"URGENT: Binary options signals with 98% accuracy. Earn Rs 6,500 per hour trading currency pairs. WhatsApp mentor Vikram Malhotra at 995551",investment_scam,high,en-IN,curated_scam
"ALERT: EPFO Helpdesk: To credit your PF withdrawal claim of Rs 750 for UAN #49019, disclose the Aadhaar authentication OTP.",otp_scam,high,en-IN,curated_scam
Important Update: TRAI Telecom Department Ahmedabad: Aapke Aadhaar #38117 par 9 illegal SIM chal rahe hain jinse fraud SMS bheje gaye. Sabhi number 2 ghante me band honge.,voice_phishing,high,hi-Latn,curated_scam
URGENT: Jio True 5G Activation for number #16482: Send SMS 'SIMREQ 16482' to 199 to claim free unlimited 5G data package in Patna.,sim_swap,high,en-IN,curated_scam
सावधान: सरकारी योजना के तहत ₹499 की सब्सिडी लेने के लिए BHIM ऐप में कलेक्ट रिक्वेस्ट पर UPI पिन सत्यापित करें। लाभार्थी #34218।,upi_collect_scam,high,hi-IN,curated_scam
"अंतिम चेतावनी: विद्यार्थी ऋण: छात्र #13642 को बिना किसी गारंटी के पढ़ाई के लिए ₹500,000 का लोन। फॉर्म भरने के लिए यहां जाएं: https://student-credit13642.site",loan_scam,medium,hi-IN,curated_scam
"Priority: Hedge fund private pool #71247: Guaranteed capital protection with 50% annual return. Minimum investment Rs 2,450.",investment_scam,high,en-IN,curated_scam
"Action Required: Dear Customer, your Fixed Deposit #98812 of Rs 4,500 with Axis Bank will mature on 08-Jun-2024. Visit Lucknow branch or internet banking to renew.",benign,safe,en-IN,authentic_transaction
Immediate Attention: Shoppers Stop Lucky Customer award: Winner #47561 won gold voucher worth Rs 199. Call manager Inspector Ajay Kumar at 9347561 within 2 hours to redeem before expiry.,lottery_prize,medium,en-IN,curated_scam
"Action Required: Transaction successful: Rs 45,000 paid to Mother Dairy in Mumbai via Paytm on 26-Jul-2025. Ref: UPI/50937.",benign,safe,en-IN,authentic_transaction
Urgent Notice: Buyer Rahul Verma ne Rs 499 bhej diya hai. Receive karne ke liye CRED me collect request ko accept karein aur PIN dalein.,upi_collect_scam,high,hi-Latn,curated_scam
"अंतिम रिमाइंडर: बिजली बिल अतिरिक्त भुगतान का ₹85,000 रिफंड पाने के लिए Amazon Pay में कलेक्ट लिंक खोलें और पिन सत्यापित करें। बिल #85230।",upi_collect_scam,high,hi-IN,curated_scam
"Action Required: Earn passive income! Subscribe to 5 YouTube channels and get Rs 150 per channel. Deposit Rs 1,000 VIP fee to withdraw your earnings of Rs 85,000.",job_offer_scam,medium,en-IN,curated_scam
IMPORTANT: Crypto staking pool: Stake Ethereum in pool #18020 and earn 1.5% daily rewards with instant liquidity withdrawal. Visit https://eth-stake-pool18020.org,investment_scam,high,en-IN,curated_scam
"Recovery agent notice: Loan file #3428 ka baki paisa Rs 25,000 1 ghante me pay karein warna police complaint darj hogi Lucknow me.",loan_scam,medium,hi-Latn,curated_scam
"Savdhan Rahe: Stock market me zero loss guarantee ke sath rozana Rs 85,000 kamayein Surat me. SEBI registered analyst tips WhatsApp group join karein: link #1884.",investment_scam,high,hi-Latn,curated_scam
"URGENT: TCS Off-Campus Remote Selection: Sanctioned salary Rs 45,000/month for candidate #56275. Pay laptop security deposit Rs 4,500 to dispatch joining letter.",job_offer_scam,medium,en-IN,curated_scam
"Dhyan Dein: Bijli vibhag Kolkata: Bill payment Rs 3,200 confirm karne ke liye SMS ka OTP executive Sunil Joshi ko batayein.",otp_scam,high,hi-Latn,curated_scam
URGENT: Vodafone-Idea Notice: 4G SIM service closing in Kolkata. Reply 'PORT 9830345' to upgrade to high-speed 5G or service will be cut for mobile #30345.,sim_swap,high,en-IN,curated_scam
"आवश्यक सूचना: सोलर ऊर्जा परियोजना #85167 में ₹8,500 निवेश करें और दैनिक ₹700 की निश्चित आय सीधे खाते में प्राप्त करें।",investment_scam,high,hi-IN,curated_scam
"अमेज़न में घर से काम: डाटा एंट्री जॉब। दैनिक वेतन ₹3,000। कोई अनुभव जरूरी नहीं। हमारे व्हाट्सएप ग्रुप #33063 से जुड़ें: 9833063",job_offer_scam,medium,hi-IN,curated_scam
"Action Required: Lucky Draw Winner! You won a brand new Tata Safari car in Diwali Mega Contest for coupon #78924. Pay RTO registration tax Rs 12,500 in Lucknow to dispatch vehicle.",lottery_prize,medium,en-IN,curated_scam
"Savdhan Rahe: Stock market me zero loss guarantee ke sath rozana Rs 45,000 kamayein Hyderabad me. SEBI registered analyst tips WhatsApp group join karein: link #63440.",investment_scam,high,hi-Latn,curated_scam
"महत्वपूर्ण सूचना: भारतीय स्टेट बैंक: प्रिय ग्राहक #55401, आपकी नेटबैंकिंग बंद कर दी गई है। तुरंत पैन लिंक करें: https://sbi-kyc-form55401.online",phishing_link,high,hi-IN,curated_scam
Alert: Badhai ho!! Aapka mobile number ending 93212 KBC Jio Lucky Draw me Rs 499 jeet chuka hai. KBC Manager Anita Rao se call karein 9893212,lottery_prize,medium,hi-Latn,curated_scam
"IMPORTANT: Global movie rating platform: Watch 3 movie trailers and get paid Rs 1,200. Register on our portal for applicant #18187: https://task-earnings18187.com",job_offer_scam,medium,en-IN,curated_scam
"ALERT: Dear User, your order #88190 on Flipkart has been cancelled. An excess amount of Rs 4,500 was debited. Click here to claim your refund: https://refund-desk88190.com",fake_refund,high,en-IN,curated_scam
"Lucky Draw Winner! Diwali contest coupon #37957 me aapne brand new Scorpio car jeeti hai. Gadi dispatch karne ke liye RTO tax Rs 12,500 pay karein Lucknow me.",lottery_prize,medium,hi-Latn,curated_scam
"अंतिम चेतावनी: फ्लिपकार्ट रिफंड: बैंक खाते में राशि ₹20,000 तुरंत जमा करने के लिए संलग्न QR कोड स्कैन करके अपना गुप्त पिन दर्ज करें।",upi_collect_scam,high,hi-IN,curated_scam
"Final Reminder: Hello sir, I am Priya Sharma from HDFC Bank fraud prevention department. We detected an unauthorized transaction of Rs 85,000. Please share the 6-digit OTP sent to your phone to cancel it.",otp_scam,high,en-IN,curated_scam
"Final Reminder: Your Airtel broadband bill for account 46727 in Jaipur is generated. Total due: Rs 50,000. Pay via Airtel Thanks app to avoid interruption.",benign,safe,en-IN,authentic_transaction
"Urgent Notice: Income tax refund Rs 12,500 approved ho chuka hai PAN #57485 ka. Account me lene ke liye form fill karein https://tax-refund-gov57485.site",phishing_link,high,hi-Latn,curated_scam
"भारतीय रिज़र्व बैंक सतर्कता प्रकोष्ठ: आपके ICICI Bank खाते #36219 संदिग्ध पाए गए हैं। धनराशि की सुरक्षा के लिए आरबीआई सत्यापन खाते में ₹12,500 ट्रांसफर करें।",voice_phishing,high,hi-IN,curated_scam
"Dhyan Dein: Bhai kal subah 7 baje gym chalna hai in Bhopal, time par ready rehna. - Sneha Patel",benign,safe,hi-Latn,authentic_transaction
"ALERT: Salary credit: Rs 2,500,000 has been credited to your salary account 11368 for month of September. - Punjab National Bank",benign,safe,en-IN,authentic_transaction
"IMPORTANT: Dear SBI user, your request for Cheque Book dispatch for account #65291 has been accepted. Tracking no #CK65291. Will arrive in 3 working days.",benign,safe,en-IN,authentic_transaction
Immediate Attention: Voter ID link with Aadhaar mandatory for EPIC #53099. Avoid deletion from electoral roll by updating at https://nvsp-voter-link53099.info,phishing_link,high,en-IN,curated_scam
आवश्यक सूचना: शेयर बाजार में पुराना सारा घाटा 14 दिनों में पूरा करें। विशेषज्ञ Advocate Alok Verma के वीआईपी प्रीमियम ग्रुप में तुरंत पंजीकरण करें: #91534।,investment_scam,high,hi-IN,curated_scam
"सावधान: प्रिय ग्राहक, आपका BOB खाता #1579 आज रात बंद कर दिया जाएगा क्योंकि KYC समाप्त हो चुका है। तुरंत अपडेट करें: https://bob-pan-kyc1579.xyz",phishing_link,high,hi-IN,curated_scam
"ALERT: Dear consumer, your electricity bill no 52558 for Rs 499 is overdue. Pay immediately at https://state-power-discom52558.com to avoid immediate line cut.",phishing_link,high,en-IN,curated_scam
"Priority: Earn Rs 3,200 weekly by doing simple copy paste tasks on mobile. Instant withdrawal. Join Telegram group @CopyPasteWork29912",job_offer_scam,medium,en-IN,curated_scam
Alert: Jio 5G welcome offer claim karne ke liye number 18277 par KYC details submit karein https://jio-5g-claim18277.info,phishing_link,high,hi-Latn,curated_scam
Immediate Attention: Calling from Telecom Department (TRAI) Bengaluru: All mobile numbers linked to Aadhaar #25069 will be terminated within 2 hours due to illegal bulk SMS complaints.,voice_phishing,high,en-IN,curated_scam
"Zaroori Suchna: Income tax refund Rs 100,000 approved ho chuka hai PAN #70419 ka. Account me lene ke liye form fill karein https://tax-refund-gov70419.site",phishing_link,high,hi-Latn,curated_scam
"Dhyan Dein: Badhai ho! Pre-approved personal loan Rs 100,000 bina CIBIL score ke approve ho gaya hai customer #72307 ka. App download karein https://quick-loan72307.apk",loan_scam,medium,hi-Latn,curated_scam
"Action Required: EPFO Helpdesk: To credit your PF withdrawal claim of Rs 50,000 for UAN #6801, disclose the Aadhaar authentication OTP.",otp_scam,high,en-IN,curated_scam
"IMPORTANT: Global movie rating platform: Watch 3 movie trailers and get paid Rs 1,200. Register on our portal for applicant #66913: https://task-earnings66913.com",job_offer_scam,medium,en-IN,curated_scam
"Aakhri Chetawani: Final warning loan #34498: Shaam tak Rs 10,000 settle karein warna aapke photo social media par post kar diye jayenge.",loan_scam,medium,hi-Latn,curated_scam
तत्काल सूचना: स्विगी लॉगिन हेतु आपका वन-टाइम पासवर्ड (OTP) 388276 है ऑर्डर #80651 के लिए। यह 10 मिनट के लिए मान्य है। किसी के साथ साझा न करें।,benign,safe,hi-IN,authentic_transaction
